date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-01-01,99635.03,25.63369643,97319.24,26.41595262,2315.79,-7.24,0.020833334,13.3,26.9,23.6,0.0,0,1
2015-01-02,129606.01,33.13898756,121082.015,38.83766098,8523.995,-47.8097765,0.0625,15.4,38.8,26.8,0.0,0,0
2015-01-03,142300.54,34.56485483,142300.54,34.56485483,0.0,0.0,0.0,20.0,38.2,26.5,0.0,0,0
2015-01-04,104330.72,25.00556024,104330.715,25.00556024,0.0,0.0,0.0,16.3,21.4,25.2,4.2,0,0
2015-01-05,118132.2,26.72417628,118132.2,26.72417628,0.0,0.0,0.0,15.0,22.0,30.7,0.0,0,0
2015-01-06,130672.48,31.28231073,130672.485,31.28231073,0.0,0.0,0.0,17.7,26.0,31.6,0.0,0,0
2015-01-07,153514.82,48.31230938,149498.715,49.63971225,4016.105,-1.1,0.020833334,18.9,37.4,20.7,0.0,0,0
2015-01-08,142015.66,49.1172803,142015.655,49.1172803,0.0,0.0,0.0,23.1,28.2,13.5,19.4,0,0
2015-01-09,121801.15,34.49067545,121801.155,34.49067545,0.0,0.0,0.0,16.5,18.0,3.1,1.2,0,0
2015-01-10,103043.66,20.2298249,103043.66,20.2298249,0.0,0.0,0.0,13.6,21.7,5.6,5.2,0,0
2015-01-11,99865.755,18.23476806,99865.755,18.23476806,0.0,0.0,0.0,15.6,27.5,29.9,0.0,0,0
2015-01-12,131261.13,33.69481017,131261.125,33.69481017,0.0,0.0,0.0,16.1,31.3,31.6,0.0,0,0
2015-01-13,126527.36,27.53786427,126527.36,27.53786427,0.0,0.0,0.0,20.2,25.6,4.2,0.0,0,0
2015-01-14,119741.62,29.01851661,119741.62,29.01851661,0.0,0.0,0.0,18.3,22.7,15.2,15.8,0,0
2015-01-15,118411.22,30.93653879,118411.22,30.93653879,0.0,0.0,0.0,15.8,20.0,14.6,0.0,0,0
2015-01-16,116690.76,23.01519088,116690.765,23.01519088,0.0,0.0,0.0,13.1,27.3,30.3,0.0,0,0
2015-01-17,99371.31,18.99492729,99371.31,18.99492729,0.0,0.0,0.0,15.9,25.0,27.5,0.0,0,0
2015-01-18,97728.75,17.00868088,95473.965,20.91179041,2254.785,-148.26,0.020833334,15.3,19.5,23.4,0.0,0,0
2015-01-19,116883.15,26.92787619,116883.15,26.92787619,0.0,0.0,0.0,13.5,23.6,29.0,0.0,0,0
2015-01-20,128968.13,23.07807414,128968.125,23.07807414,0.0,0.0,0.0,13.0,30.4,19.6,0.0,0,0
2015-01-21,148702.51,34.44341546,148702.505,34.44341546,0.0,0.0,0.0,19.7,33.1,25.8,0.0,0,0
2015-01-22,153232.1,35.2307614,153232.1,35.2307614,0.0,0.0,0.0,18.7,35.8,23.1,0.0,0,0
2015-01-23,138095.2,40.60420022,138095.2,40.60420022,0.0,0.0,0.0,20.2,25.0,28.6,0.0,0,0
2015-01-24,116310.59,20.92200015,116310.59,20.92200015,0.0,0.0,0.0,15.8,26.3,30.3,0.0,0,0
2015-01-25,97959.46,16.5414177,97959.46,16.5414177,0.0,0.0,0.0,14.7,22.0,25.4,0.0,0,0
2015-01-26,103769.48,16.9360128,103769.48,16.9360128,0.0,0.0,0.0,11.6,19.8,19.9,1.0,0,1
2015-01-27,118393.31,21.2062886,118393.31,21.2062886,0.0,0.0,0.0,11.7,19.1,17.7,0.6,0,0
2015-01-28,116763.72,17.02383824,116763.725,17.02383824,0.0,0.0,0.0,13.3,25.4,27.0,0.0,0,0
2015-01-29,119313.73,19.62482736,119313.73,19.62482736,0.0,0.0,0.0,12.8,22.2,28.9,0.0,1,0
2015-01-30,121018.15,21.02935608,121018.15,21.02935608,0.0,0.0,0.0,13.1,21.0,27.6,0.0,1,0
2015-01-31,103822.97,16.53884673,103822.97,16.53884673,0.0,0.0,0.0,14.3,20.2,26.2,0.0,1,0
2015-02-01,100178.84,14.57884442,100178.84,14.57884442,0.0,0.0,0.0,13.2,19.0,17.3,9.2,1,0
2015-02-02,118694.16,22.27003219,118694.16,22.27003219,0.0,0.0,0.0,13.5,21.1,23.9,3.8,1,0
2015-02-03,122880.13,27.00383233,122880.13,27.00383233,0.0,0.0,0.0,16.1,20.0,22.7,0.0,1,0
2015-02-04,117398.03,27.8091342,117398.03,27.8091342,0.0,0.0,0.0,14.8,19.0,21.2,0.0,1,0
2015-02-05,122279.43,31.38457074,122279.425,31.38457074,0.0,0.0,0.0,13.3,24.2,28.8,0.0,1,0
2015-02-06,141837.01,38.84018027,141837.005,38.84018027,0.0,0.0,0.0,14.5,35.7,28.4,0.0,1,0
2015-02-07,132138.37,28.76170678,132138.365,28.76170678,0.0,0.0,0.0,18.8,35.0,16.1,0.0,1,0
2015-02-08,112108.22,23.9741066,112108.215,23.9741066,0.0,0.0,0.0,18.9,21.5,16.6,0.0,1,0
2015-02-09,126813.08,28.90913471,126813.075,28.90913471,0.0,0.0,0.0,13.6,28.3,28.6,0.0,1,0
2015-02-10,145948.56,37.52259998,145948.565,37.52259998,0.0,0.0,0.0,16.4,27.8,27.7,0.0,1,0
2015-02-11,149322.85,32.6554543,149322.85,32.6554543,0.0,0.0,0.0,18.1,26.8,24.1,0.0,1,0
2015-02-12,131376.78,26.57663494,131376.78,26.57663494,0.0,0.0,0.0,17.8,21.9,23.8,0.0,1,0
2015-02-13,136070.62,18.73697061,133078.54,26.32285732,2992.08,-318.66,0.020833334,16.1,32.4,14.9,0.0,1,0
2015-02-14,119692.03,20.24010323,119692.025,20.24010323,0.0,0.0,0.0,19.0,25.1,20.8,19.6,1,0
2015-02-15,125287.71,24.58418694,125287.71,24.58418694,0.0,0.0,0.0,18.2,34.4,25.7,0.4,1,0
2015-02-16,131832.63,31.9490406,131832.63,31.9490406,0.0,0.0,0.0,17.4,24.6,26.3,0.0,1,0
2015-02-17,127666.01,30.25014939,127666.01,30.25014939,0.0,0.0,0.0,17.6,20.6,8.3,0.0,1,0
2015-02-18,125972.77,30.23579275,125972.765,30.23579275,0.0,0.0,0.0,17.7,21.2,7.8,0.0,1,0
2015-02-19,139399.69,33.59896068,139399.69,33.59896068,0.0,0.0,0.0,18.2,26.9,24.7,0.0,1,0
2015-02-20,139465.67,33.53867153,139465.675,33.53867153,0.0,0.0,0.0,17.4,25.3,24.7,0.0,1,0
